"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clara, Laois/Offaly Division",26,13,30,8,8,19,10
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Claremorris, Mayo Division",24,26,17,21,23,24,5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clifden, Galway Division",22,14,3,10,16,12,6
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cloch na Ron, Galway Division",5,1,1,1,2,1,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cloghan, Co. Offaly, Laois/Offaly Division",16,8,10,4,3,9,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clogheen, Co. Tipperary, Tipperary Division",5,4,7,4,4,3,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clogher, Donegal Division",1,1,0,1,0,0,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clogherhead, Louth Division",11,7,9,13,11,5,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clonakilty, Cork West Division",39,43,37,27,27,44,7
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clonark, Roscommon/Longford Division",4,1,5,1,4,1,4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clonaslee, Laois/Offaly Division",6,3,4,4,4,1,4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clonbologue, Laois/Offaly Division",3,1,3,3,2,5,4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clondalkin, D.M.R. Western Division",121,116,131,112,120,137,61
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clones, Cavan/Monaghan Division",46,28,29,14,17,22,12
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clonmany, Donegal Division",15,26,16,13,5,13,4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clonmel, Tipperary Division",83,91,70,72,94,107,57
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clonroche, Wexford Division",9,2,2,1,2,5,4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clontarf, D.M.R. Northern Division",86,53,74,60,51,69,30
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cloughjordan, Tipperary Division",0,4,0,2,2,0,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cloyne, Cork North Division",0,0,1,3,3,1,3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Coachford, Cork West Division",5,9,3,7,6,10,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cobh, Cork North Division",80,64,44,25,60,48,14
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Collon, Louth Division",3,3,3,5,5,3,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Collooney, Sligo/Leitrim Division",6,10,10,9,8,14,8
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cong, Mayo Division",2,2,6,3,4,3,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Convoy, Donegal Division",33,20,15,26,20,18,16
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Coolaney, Sligo/Leitrim Division",5,3,3,7,2,3,3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Coolock, D.M.R. Northern Division",141,165,105,136,131,189,89
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cootehill, Cavan/Monaghan Division",36,53,32,25,22,13,7
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Corofin Co. Clare, Clare Division",1,6,6,1,11,6,5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Corofin Co. Galway, Galway Division",2,3,3,6,5,3,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Courtown Harbour, Wexford Division",14,23,19,20,22,23,9
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Craughwell, Galway Division",3,6,4,4,12,2,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Creggs, Galway Division",0,1,0,1,2,2,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Crookstown, Cork West Division",3,3,6,6,7,25,4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Croom, Limerick Division",9,8,9,5,3,15,5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Crosshaven, Cork City Division",10,12,10,6,3,10,10
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Crossmolina, Mayo Division",6,7,4,8,3,6,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Crumlin, D.M.R. Southern Division",68,79,65,66,90,91,43
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Crusheen, Clare Division",2,2,3,0,2,2,3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Daingean, Laois/Offaly Division",7,9,13,8,9,7,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Delvin, Westmeath Division",10,14,13,4,9,3,4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Dingle, Kerry Division",20,8,18,14,19,19,5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Dolla, Tipperary Division",2,0,0,0,0,0,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Donegal Town, Donegal Division",27,29,36,38,34,30,10
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Doneraile, Cork North Division",6,2,3,12,7,1,3
